FID IID thr_wing
8537730 8537730 82.64
8537738 8537738 80
8537742 8537742 79
8537742 8537742 77.7
8537742 8537742 79
8537742 8537742 NA
8537742 8537742 78.61
8537743 8537743 NA
8537746 8537746 75
8537748 8537748 82.86
8537751 8537751 81
8537756 8537756 80.78
8537757 8537757 75
8537757 8537757 77.64
8537760 8537760 77
8537760 8537760 77
8537761 8537761 80
8537770 8537770 80
8537770 8537770 80.7
8537770 8537770 80.41
8537771 8537771 83
8537771 8537771 84
8537771 8537771 85
8537771 8537771 84.7
8537771 8537771 84.7
8537771 8537771 84.61
8537771 8537771 83
8537773 8537773 77
8537774 8537774 81
8537774 8537774 79.61
8537774 8537774 80
8537774 8537774 81.41
8537776 8537776 80
8537776 8537776 82
8537776 8537776 81.7
8537778 8537778 81
8537778 8537778 80
8537780 8537780 78
8537780 8537780 78
8537782 8537782 NA
8537782 8537782 82
8537782 8537782 80.7
8537791 8537791 80
8537791 8537791 80.41
8537795 8537795 80.41
8537795 8537795 82
8537795 8537795 80.41
8537795 8537795 82.61
8573007 8573007 76
8573008 8573008 79.5
8573009 8573009 77.5
8573018 8573018 78
8573019 8573019 80
8573019 8573019 NA
8573019 8573019 79.7
8573019 8573019 80
8573020 8573020 81
8573020 8573020 78.4
8573020 8573020 NA
8573020 8573020 82.64
8573024 8573024 82
8573024 8573024 NA
8573024 8573024 NA
8573024 8573024 82
8573024 8573024 NA
8573024 8573024 82
8573024 8573024 82
8573025 8573025 81
8573025 8573025 81
8573028 8573028 80
8573029 8573029 77
8573029 8573029 77
8573030 8573030 79
8573042 8573042 78
8573042 8573042 78.5
8573042 8573042 NA
8573042 8573042 78.64
8573042 8573042 79
8573042 8573042 75.64
8573042 8573042 79.61
8573042 8573042 78.41
8573042 8573042 80.61
8573042 8573042 79
8573046 8573046 80
8573046 8573046 NA
8573046 8573046 79
8573046 8573046 80
8573047 8573047 81
8573047 8573047 NA
8573047 8573047 80
8573048 8573048 82.5
8573048 8573048 82
8573050 8573050 79
8573050 8573050 NA
8573051 8573051 82
8573051 8573051 84
8573051 8573051 79
8573051 8573051 82
8573052 8573052 80
8573052 8573052 NA
8573055 8573055 80
8573077 8573077 NA
8573077 8573077 NA
8573077 8573077 73.64
8573077 8573077 75
8573086 8573086 79
8573096 8573096 81
8573096 8573096 79
8573096 8573096 83
8573101 8573101 77
8573102 8573102 82
8573103 8573103 80.64
8573103 8573103 80.5
8573103 8573103 NA
8573104 8573104 NA
8573105 8573105 75.5
8573105 8573105 NA
8573105 8573105 75
8573105 8573105 73
